VLO,84.75,85.4499969482
IRBT,119.9499969482,121.0
SATS,34.8055114746,33.4116706848
DMRC,24.0400009155,24.5
TGH,12.8900003433,12.8900003433
PAAS,15.2399997711,14.1199998856
BVN,16.7099990845,16.7999992371
SHLX,19.6800003052,19.4899997711
SGC,17.7700004578,17.7399997711
NYMT,6.2899999619,6.2699999809
MFA,7.3699998856,7.2699999809
TRGP,46.2799987793,44.5600013733
NAVI,12.8199996948,11.9399995804
IFF,128.1499938965,129.6900024414
EVTC,30.2800006866,27.9099998474
JRVR,40.9799995422,42.0999984741
DHI,40.2400016785,39.3499984741
GFI,4.2600002289,4.1599998474
MTB,173.3800048828,174.6100006104
CNS,40.0699996948,39.3600006104
ECC,16.4699993134,16.5699996948
MCS,39.6500015259,41.0699996948
MIC,43.2000007629,39.8800010681
LEN,49.3800010681,48.1899986267
SREV,1.1900000572,1.0800000429
BIIB,332.3699951172,329.9700012207
VG,10.0100002289,9.25
ADC,64.6699981689,64.0599975586
NCMI,7.0700001717,7.0799999237
CENX,8.779999733,9.1800003052
AIMC,32.3300018311,28.7099990845
FLR,37.2200012207,37.6199989319
AL,38.6800003052,38.7200012207
TNC,61.9799995422,63.4599990845
SEM,15.4899997711,15.6899995804
EHTH,64.5299987793,67.4400024414
BMRN,92.0,90.1200027466
PLAB,11.4099998474,11.0200004578
VMI,137.8899993896,138.9900054932
SBAC,183.0500030518,183.5399932861
UCTT,12.3299999237,12.8699998856
UEIC,28.4400005341,28.9799995422
ACET,59.0099983215,56.4199981689
HSIC,59.0099983215,60.0299987793
BDC,56.9300003052,63.4700012207
BTX,7.0199999809,7.4000000954
RWLK,7.875,6.0500001907
ROCK,38.7299995422,39.5400009155
MDRX,12.1000003815,12.1099996567
